adapter,market_types,spot_project,contract_project,core_ops,public_ws_support,ws_gap,ws_fastest_interval_ms,ws_l1_bbo_evidence,ws_latency_tier,confirmed_tasks,confirmed_task_priorities,confirmed_task_categories,remaining_checks,remaining_check_priorities,remaining_check_categories,workload_score,next_action,doc,mapping
binance,"spot,perpetual",声明,声明,8/8,rest_fallback,公共WS订阅已补/REST snapshot 重建,100,是,10ms/100ms 盘口候选已声明,2,"P0:2","product_line:1,private_ws:1",0,-,-,200,继续补私有 WS 或 Options 边界,docs/交易所网关/适配器/binance_adapter.md,crates/rustcta-exchange-gateway/src/adapters/binance/endpoint_mapping.yaml
bitget,"perpetual,spot",声明,声明,9/9,native,缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P0:2,P4:1","advanced_trading:1,product_line:1,public_ws:1",0,-,-,203,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/bitget_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitget/endpoint_mapping.yaml
gateio,"perpetual,spot",声明,声明,9/9,native,缺档位,20,否,低延迟盘口候选,3,"P0:2,P4:1","advanced_trading:1,product_line:1,public_ws:1",0,-,-,203,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/gateio_adapter.md,crates/rustcta-exchange-gateway/src/adapters/gateio/endpoint_mapping.yaml
mexc,"perpetual,spot",声明,声明,9/9,native,已记录核心细项,10,是,极速L1候选,3,"P0:2,P4:1","advanced_trading:1,product_line:1,public_ws:1",0,-,-,203,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/mexc_adapter.md,crates/rustcta-exchange-gateway/src/adapters/mexc/endpoint_mapping.yaml
okx,"spot,perpetual",声明,声明,8/8,rest_fallback,Spot+Swap 公共WS订阅已补,10,是,10ms BBO / 100ms books 已声明,2,"P0:2","product_line:1,public_ws:1",0,-,-,153,继续补 Futures/Options 和 VIP TBT depth 边界,docs/交易所网关/适配器/okx_adapter.md,crates/rustcta-exchange-gateway/src/adapters/okx/endpoint_mapping.yaml
huobi,"perpetual,spot",声明,声明,8/9,declared,缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P0:1,P2:1,P3:1,P4:1","advanced_trading:1,fee:1,position:1,public_ws:1",0,-,-,138,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/huobi_adapter.md,crates/rustcta-exchange-gateway/src/adapters/huobi/endpoint_mapping.yaml
kucoin,spot,声明,未声明,8/8,native,已记录核心细项,10,是,极速L1候选,4,"P0:1,P2:1,P3:1,P4:1","advanced_trading:1,fee:1,product_line:1,public_ws:1",0,-,-,138,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/kucoin_adapter.md,crates/rustcta-exchange-gateway/src/adapters/kucoin/endpoint_mapping.yaml
binancecoinm,"futures,perpetual",未声明,声明,9/9,unsupported,公共WS不支持/未接入,,否,公共WS未接入/未声明,3,"P0:1,P2:1,P4:1","advanced_trading:1,explicit_unsupported:1,public_ws:1",0,-,-,128,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/binancecoinm_adapter.md,crates/rustcta-exchange-gateway/src/adapters/binancecoinm/endpoint_mapping.yaml
binanceus,spot,声明,未声明,8/8,unsupported,公共WS不支持/未接入,,否,公共WS未接入/未声明,3,"P0:1,P2:1,P4:1","advanced_trading:1,explicit_unsupported:1,public_ws:1",0,-,-,128,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/binanceus_adapter.md,crates/rustcta-exchange-gateway/src/adapters/binanceus/endpoint_mapping.yaml
cod3x,perpetual,未声明,声明,0/9,未声明,公共WS未声明,,否,公共WS未接入/未声明,7,"P2:4,P3:2,P4:1","account_state_unsupported:1,advanced_trading_unsupported:1,core_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,position_unsupported:1,public_ws_unsupported:1",0,-,-,123,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/cod3x_adapter.md,crates/rustcta-exchange-gateway/src/adapters/cod3x/endpoint_mapping.yaml
