priority,category,adapter,product_line,official_status,project_status,required_work,source
P0,public_ws,binance,spot,"官方支持 partial depth/diff depth/bookTicker，partial depth 100ms/1000ms，5/10/20 档","public_ws=unsupported","补 Spot depth/bookTicker stream mapping、parser、fixture、REST snapshot + delta 重建","WebSocket官方核验_P0_第一批.md"
P0,public_ws,okx,spot/swap/futures/option,"官方支持 bbo-tbt/books5/books/books-l2-tbt/books50-l2-tbt，10ms/100ms","public_ws=unsupported","补 books5 和 bbo-tbt；VIP/登录限制频道单独标注；补 checksum/seq","WebSocket官方核验_P0_第一批.md"
P0,public_ws,bitget,spot,"官方支持 books/books1/books5/books15，books1 10ms，其余常规 200ms","public_ws=unsupported","补 books1/books5/books15、CRC32 checksum、parser fixture","WebSocket官方核验_P0_第一批.md"
P0,public_ws,gateio,spot,"官方支持 spot.order_book_update，20ms/20 档或 100ms/100 档","public_ws=unsupported","补 spot.order_book_update mapping、parser、sequence/checksum 细节","WebSocket官方核验_P0_第一批.md"
P0,public_ws,mexc,spot,"官方支持 aggregated depth/partial depth/bookTicker，10ms/100ms，5/10/20 档","public_ws=unsupported","补 10ms depth/bookTicker、fromVersion/toVersion 和 snapshot 重建","WebSocket官方核验_P0_第一批.md"
P0,public_ws,binanceus,spot,"官方支持 bookTicker/partial depth/diff depth，100ms/1000ms，5/10/20 档","public_ws=unsupported","按 Binance Spot 同类补 stream mapping、parser、snapshot 重建","WebSocket官方核验_P0_第二批.md"
P0,public_ws,binancecoinm,coin-m futures/perpetual,"官方支持 partial depth/diff depth，100ms/250ms/500ms，5/10/20 档","public_ws=unsupported","补 COIN-M depth stream parser、U/u/pu、REST snapshot 重建","WebSocket官方核验_P0_第二批.md"
P0,public_ws,bybit,spot/linear/inverse/option,"官方支持 orderbook.{depth}.{symbol}，1=10ms、50=20ms、200=100ms、1000=200ms","public_ws=spec_only","补 interval/depth/seq/snapshot 字段，再接 runtime parser","WebSocket官方核验_P0_第一批.md"
P0,public_ws,kucoin,spot/futures,"官方支持 BBO、5/50 档、increment；5/50 为 100ms，BBO/increment real-time；2026-06-17 UTC 将上线 UTA depth=increment@10ms 500 档","public_ws=native，但缺结构化细项","补 obu channel、depth、interval、sequence；2026-06-17 后补 increment@10ms 500 档迁移","WebSocket官方核验_P0_第一批.md"
P0,public_ws,htx,spot/usdt-m swap,"官方支持 Spot MBP/BBO 和 USDT-M 高频 depth；Spot mbp.refresh 约 100ms，合约高频每 30ms 检查","public_ws=declared/parser evidence","补 mbp.refresh、depth.size_20.high_freq、seqNum/prevSeqNum/version","WebSocket官方核验_P0_第二批.md"
P0,public_ws,huobi,spot/usdt-m swap,"官方支持 Spot MBP/BBO 和 USDT-M 高频 depth；Spot mbp.refresh 约 100ms，合约高频每 30ms 检查","public_ws=declared/parser evidence","与 htx 保持同源 mapping，补低延迟盘口结构化字段","WebSocket官方核验_P0_第二批.md"
P0,public_ws,lbank,spot,"官方支持 depth WS，10/50/100 档，官方未给固定 ms","public_ws=native，但缺 interval/sequence 说明","补 depth=10/50/100、官方未给固定 ms、无 sequence/checksum 风险","WebSocket官方核验_P0_第二批.md"
P0,public_ws,coinw,spot/futures,"官方支持 Spot 20/100 档 snapshot 和增量；Futures 默认 100 买档/100 卖档","public_ws=parser_only","补 depth_snapshot/depth、seq/startSeq/endSeq；Futures 标明未见 sequence/checksum","WebSocket官方核验_P0_第二批.md"
P0,product_line,binance,usd-m futures,"官方支持 USD-M Futures","当前没有 binanceusdm adapter","新建或合并 USD-M adapter；补 REST/WS/order/account/position mapping","产品线官方核验_P0_主流交易所.md"
P0,product_line,binance,options,"官方支持 Options","当前没有 binanceoption adapter","决定是否纳入网关范围；若纳入，补 Options adapter 和能力矩阵","产品线官方核验_P0_主流交易所.md"
P0,product_line,okx,swap/futures/options,"官方支持 Swap/Futures/Options","当前 okx 只接 Spot","补 OKX Swap/Futures/Options endpoint mapping、position/account/order/WS","产品线官方核验_P0_主流交易所.md"
