exchange,market_types,spot_project,contract_project,official_gap_check,public_ws_support,private_ws_support,public_ws_channels,private_ws_channels,orderbook_channels,ws_push_interval_evidence,ws_depth_evidence,ws_fastest_interval_ms,ws_l1_bbo_evidence,ws_latency_tier,ws_gap,mapping,doc,get_symbol_rules,get_order_book,get_balances,get_positions,get_fees,place_order,place_quote_market_order,cancel_order,amend_order,place_order_list,batch_place_orders,batch_cancel_orders,cancel_all_orders,query_order,get_open_orders,get_recent_fills
aark,perpetual,不支持,声明,,spec_only,unsupported,"public_orderbook_delta,{symbol}@orderbookupdate","executionreport/account,private_user_events,public_orderbook_delta,{symbol}@orderbookupdate","public_orderbook_delta,{symbol}@orderbookupdate",200ms,,200,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/aark/endpoint_mapping.yaml,docs/交易所网关/适配器/aark_adapter.md,运行,离线,离线,离线,离线,离线,-,离线,离线,不支持,离线,不支持,不支持,运行,运行,运行
aftermath,perpetual,不支持,声明,,spec_only,unsupported,updates.orderbook,,updates.orderbook,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/aftermath/endpoint_mapping.yaml,docs/交易所网关/适配器/aftermath_adapter.md,运行,运行,离线,离线,不支持,离线,-,离线,不支持,不支持,不支持,不支持,不支持,离线,离线,离线
alpaca,spot,声明,不支持,,native,unsupported,orderbooks,,orderbooks,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/alpaca/endpoint_mapping.yaml,docs/交易所网关/适配器/alpaca_adapter.md,运行,运行,运行,运行,不支持,运行,运行,运行,不支持,不支持,不支持,组合,运行,运行,运行,不支持
apex,perpetual,项目未实现,声明,项目未实现 spot_product,native,api_key_login,"candle,instrumentInfo,orderBook200,orderBook200.H.{symbol},orderBook25,orderBook25.H.{symbol},orderBook{limit}.H.{symbol},recentlyTrade",ws_zk_accounts_v3,"orderBook200,orderBook200.H.{symbol},orderBook25,orderBook25.H.{symbol},orderBook{limit}.H.{symbol}",,"2,25,200",,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/apex/endpoint_mapping.yaml,docs/交易所网关/适配器/apex_adapter.md,原生,原生,离线,离线,不支持,离线,不支持,离线,不支持,不支持,不支持,不支持,离线,运行,运行,运行
apollox_dex,perpetual,项目未实现,声明,项目未实现 spot_product,spec_only,spec_only,"<symbol>@bookTicker,<symbol>@depth10@100ms,<symbol>@depth20@100ms,<symbol>@depth5@100ms,<symbol>@depth@100ms,<symbol>@depth@250ms,<symbol>@depth@500ms",,"<symbol>@bookTicker,<symbol>@depth10@100ms,<symbol>@depth20@100ms,<symbol>@depth5@100ms,<symbol>@depth@100ms,<symbol>@depth@250ms,<symbol>@depth@500ms","100ms,250ms,500ms","1,5,10,20",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/apollox_dex/endpoint_mapping.yaml,docs/交易所网关/适配器/apollox_dex_adapter.md,运行,运行,离线,离线,离线,离线,-,离线,不支持,不支持,运行,不支持,离线,运行,运行,运行
arkham,"perpetual,spot",声明,声明,,spec_only,unsupported,,,,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/arkham/endpoint_mapping.yaml,docs/交易所网关/适配器/arkham_adapter.md,运行,运行,离线,离线,离线,离线,-,离线,不支持,不支持,不支持,不支持,离线,运行,运行,运行
ascendex,"perpetual,spot",声明,声明,,parser_only,parser_only,"1,100,300,500,absolute_quantity_level_delta,bbo:{symbol},best_bid_offer_snapshot,depth,depth-snapshot,depth-snapshot-top100,depth:{symbol},discard_local_book_then_request_fresh_snapshot,l2_delta,next seqnum must equal previous seqnum + 1 per symbol,none_documented,on_change,perpetual,public_orderbook_snapshot,public_orderbook_snapshot_top100,resubscribe_and_request_snapshot,seqnum,spot,tests/fixtures/exchanges/ascendex/ws_public_bbo.json,tests/fixtures/exchanges/ascendex/ws_public_depth.json,unsupported,websocket_snapshot_request",,"bbo:{symbol},depth,depth-snapshot,depth-snapshot-top100,depth:{symbol},discard_local_book_then_request_fresh_snapshot,public_orderbook_snapshot,public_orderbook_snapshot_top100,tests/fixtures/exchanges/ascendex/ws_public_bbo.json,tests/fixtures/exchanges/ascendex/ws_public_depth.json",300ms,"1,2,300,500",300,是,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/ascendex/endpoint_mapping.yaml,docs/交易所网关/适配器/ascendex_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,不支持,不支持,运行,运行,运行,运行,运行,运行
aster,perpetual,项目未实现,声明,项目未实现 spot_product,declared,declared,"aggTrade,bookTicker,depth10@100ms,depth20@100ms,depth5@100ms,depth@100ms,depth@250ms,depth@500ms,kline,ticker","ACCOUNT_UPDATE,ORDER_TRADE_UPDATE,listenKeyExpired","bookTicker,depth10@100ms,depth20@100ms,depth5@100ms,depth@100ms,depth@250ms,depth@500ms","100ms,250ms,500ms","1,5,10,20",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/aster/endpoint_mapping.yaml,docs/交易所网关/适配器/aster_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,不支持,不支持,不支持,不支持,运行,运行,运行,运行
backpack,"perpetual,spot",声明,声明,,native,parser_only,"1,1000,200,600,U,absolute_quantity_level_delta,aggregate_depth,bookTicker.{symbol},book_ticker,delta,depth,depth.200ms|600ms|1000ms.{symbol},depth.{symbol},kline.{interval}.{symbol},linear_perp,none,public_orderbook_bbo,public_orderbook_delta_aggregate,public_orderbook_delta_realtime,realtime,realtime_depth,spot,ticker.{symbol},trade.{symbol},u","account.orderUpdate,account.positionUpdate,bookTicker.{symbol},depth.200ms|600ms|1000ms.{symbol},depth.{symbol},public_orderbook_bbo,public_orderbook_delta_aggregate,public_orderbook_delta_realtime","aggregate_depth,bookTicker.{symbol},book_ticker,depth,depth.200ms|600ms|1000ms.{symbol},depth.{symbol},public_orderbook_bbo,public_orderbook_delta_aggregate,public_orderbook_delta_realtime,realtime_depth","200ms,600ms,1000ms","1,5,10,20,50,100,500,1000",200,是,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/backpack/endpoint_mapping.yaml,docs/交易所网关/适配器/backpack_adapter.md,映射,映射,原生,原生,原生,原生,映射,原生,不支持,不支持,映射,映射,原生,原生,原生,原生
bequant,spot,声明,项目未实现,"项目未实现 contract_product,futures_product,margin_product",native,spec_only,"orderbook/D20/1000ms,ticker/price/1s,trades",,orderbook/D20/1000ms,"1s,1000ms",20,1000,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bequant/endpoint_mapping.yaml,docs/交易所网关/适配器/bequant_adapter.md,运行,运行,运行,-,运行,运行,-,运行,不支持,不支持,不支持,不支持,运行,运行,运行,运行
